champion_school,coach_name,runnerup_school,championship_site
Lynn ,Adam Milewski,San Francisco St.,"Sioux Falls, SD"
Cal State LA ,Juan Figueroa,West Texas A&M,"Moon Township, PA"
West Texas A&M ,Kendra Potts,Concordia-St. Paul,"Seattle, Wash."
Tampa ,Chris Catanach,Washburn,"Tampa, FL."
Canceled due to Covid-19,N/A,N/A,N/A
Cal State San Bernardino ,Kim Cherniss,Nebraska-Kearney,"Denver, Co."
Tampa ,Chris Catanach,Western Washington,"Pittsburgh, Pa."
Concordia-St. Paul ,Brady Starkey,Florida Southern,"Pensacola, Fla."
Concordia-St. Paul ,Brady Starkey,Alaska Anchorage,"Sioux Falls, S.D."
Wheeling Jesuit ,Christy Benner,Palm Beach Atlantic,"Tampa, Fla."
Tampa ,Chris Catanach,S'west Minnesota State,"Louisville, Ky."
Concordia-St. Paul ,Brady Starkey,BYU-Hawaii,"Cedar Rapids, Iowa"
Concordia-St. Paul ,Brady Starkey,Tampa,"Pensacola, Fla."
Concordia-St. Paul ,Brady Starkey,Cal State San Bernardino,Cal State San Bernardino
Concordia-St. Paul ,Brady Starkey,Tampa,"Louisville, Ky."
Concordia-St. Paul ,Brady Starkey,West Texas A&M,Concordia-St. Paul
Concordia-St. Paul ,Brady Starkey,Cal State San Bernardino,Concordia-St. Paul
Concordia-St. Paul ,Brady Starkey,Western Washington,Washburn
Tampa ,Chris Catanach,North Alabama,West Florida
Grand Valley State ,Deanne Scanlon,Nebraska-Kearney,Nebraska-Kearney
Barry ,Dave Nichols,Truman,Barry
North Alabama ,Matt Peck,Concordia-St. Paul,Cal State San Bernardino
BYU-Hawaii ,Wilfred Navalta,Truman,West Texas A&M
Barry ,Dave Nichols,South Dakota State,Grand Valley State
Hawaii Pacific ,Tita Ahuna,Augustana (S.D.),Augustana (S.D.)
BYU-Hawaii ,Wilfred Navalta,Tampa,"Battle Creek, Mich."
Hawaii Pacific ,Tita Ahuna,North Dakota State,"Kissimmee, Fla."
West Texas A&M ,Debbie Hendricks,Barry,Cal State Bakersfield
Nebraska-Omaha ,Rose Shires,Tampa,Central Missouri
Barry ,Leonid Yelin,Northern Michigan,Barry
Northern Michigan ,Mark Rosen,Cal State Bakersfield,Cal State Bakersfield
Northern Michigan ,Jim Moore,Cal State Bakersfield,Northern Michigan
Portland State ,Jeff Mozzochi,Northern Michigan,Portland State
West Texas A&M ,Jim Giacomazzi,Portland State,West Texas A&M
West Texas A&M ,Kim Hudson,North Dakota State,Cal State Bakersfield
Cal State Bakersfield ,David Rubio,Sacramento State,Cal State Bakersfield
Portland State ,Jeff Mozzochi,Cal State Northridge,North Dakota State
Cal State Northridge ,Walt Ker,Central Missouri,Nebraska-Omaha
UC Riverside ,Sue Gozansky,Cal State Northridge,Sacramento State
Portland State ,Jeff Mozzochi,Cal State Northridge,Portland State
Portland State ,Jeff Mozzochi,Cal State Northridge,Portland State
Cal State Northridge ,Walt Ker,Portland State,Florida Southern
UC Riverside ,Sue Gozansky,Cal State Northridge,Cal State Northridge
Sacramento State ,Debby Colberg,Lewis,UC Riverside
